sbj,fc,SSC gaze shift,LSC gaze shift,all gaze shift
01,0.8516692775967629,0.36971830985915494,0.5604395604395604,0.5031210986267166
02,0.9060138215359677,0.37142857142857144,0.5437956204379562,0.4929936305732484
03,0.9554043731177744,0.4065934065934066,0.5073529411764706,0.5063613231552163
04,0.9370740016922205,0.39763779527559057,0.5135135135135135,0.4739970282317979
06,0.8498817899390925,0.36140350877192984,0.47101449275362317,0.4613466334164589
10,0.7800894470109877,0.3709090909090909,0.4552238805970149,0.41304347826086957
14,0.8619779112849534,0.3574007220216607,0.5387453874538746,0.47588832487309646
15,0.6879679038603035,0.4103448275862069,0.41818181818181815,0.43246592317224286
16,0.9929178134120458,0.3726235741444867,0.46443514644351463,0.46787709497206703
17,0.9262192675039169,0.4529616724738676,0.5942028985507246,0.5297029702970297
18,0.7937306588771993,0.4007220216606498,0.5656934306569343,0.5182389937106918
19,0.8802238860546989,0.296551724137931,0.5218978102189781,0.44870210135970334
